ID;Customer_ID;Month;Name;Age;SSN;Occupation;Annual_Income;Monthly_Inhand_Salary;Num_Bank_Accounts;Num_Credit_Card;Interest_Rate;Num_of_Loan;Type_of_Loan;Delay_from_due_date;Num_of_Delayed_Payment;Changed_Credit_Limit;Num_Credit_Inquiries;Credit_Mix;Outstanding_Debt;Credit_Utilization_Ratio;Credit_History_Age;Payment_of_Min_Amount;Total_EMI_per_month;Amount_invested_monthly;Payment_Behaviour;Monthly_Balance;Credit_Score
0;0;3;9;23.0;2037;12;19114.12;0.0;3;4;3;73;121;28;7.0;11.27;40.0;2;809.98;1;180;1;0.0;80.41529543900253;0;2;0
1;0;2;9;23.0;2037;12;19114.12;0.0;3;4;3;73;121;0;0.0;11.27;40.0;1;809.98;1;404;1;0.0;118.28022162236736;0;2;0
2;0;6;9;-500.0;2037;12;19114.12;0.0;3;4;3;73;121;28;7.0;0.0;40.0;1;809.98;1;184;1;0.0;81.699521264648;0;2;0
3;0;0;9;23.0;2037;12;19114.12;0.0;3;4;3;73;121;50;4.0;6.27;40.0;1;809.98;1;185;1;0.0;199.4580743910713;0;2;0
4;0;7;9;23.0;2037;12;19114.12;0.0;3;4;3;73;121;61;0.0;11.27;40.0;1;809.98;1;186;1;0.0;41.420153086217326;0;2;0
5;0;5;9;23.0;2037;12;19114.12;0.0;3;4;3;73;121;71;4.0;9.27;40.0;1;809.98;1;187;1;0.0;62.430172331195294;0;2;0
6;0;4;9;23.0;2037;12;19114.12;0.0;3;4;3;73;121;28;0.0;11.27;40.0;1;809.98;1;188;1;0.0;178.3440674122349;0;2;0
7;0;1;1289;23.0;2500;12;19114.12;0.0;3;4;3;73;121;28;6.0;11.27;40.0;1;809.98;1;404;1;0.0;24.785216509052056;0;2;2
8;0;3;1754;0.0;14;8;34847.84;0.0;2;4;6;4;251;28;4.0;5.42;20.0;1;605.03;1;236;1;0.0;104.291825168246;0;2;2
9;0;2;1754;28.0;14;13;34847.84;0.0;2;4;6;4;251;70;1.0;7.42;20.0;1;605.03;1;237;1;0.0;40.39123782853101;0;2;0
